valuations_metrics,financials,stock_statistics,stock_price_summary,dividends_and_splits,symbol,name,currency,exchange,mic_code,exchange_timezone
"{'market_capitalization': 155631026176, 'enterprise_value': 63484530692, 'trailing_pe': 26.683372, 'forward_pe': 15.91576, 'peg_ratio': 15.91576, 'price_to_sales_ttm': 0.7837267, 'price_to_book_mrq': 0.98716533, 'enterprise_to_revenue': 2.3, 'enterprise_to_ebitda': 9.479}","{'fiscal_year_ends': '2022-12-31', 'most_recent_quarter': '2023-09-30', 'profit_margin': 0.23265, 'operating_margin': 0.24194999, 'return_on_assets_ttm': 0.10848, 'return_on_equity_ttm': 0.34326, 'income_statement': {'revenue_ttm': 27598397177, 'revenue_per_share_ttm': 149.27, 'quarterly_revenue_growth': 0.939, 'gross_profit_ttm': 99095291000, 'ebitda': 55441123000, 'net_income_to_common_ttm': 6420866393, 'diluted_eps_ttm': 4.39, 'quarterly_earnings_growth_yoy': 0.467}, 'balance_sheet': {'total_cash_mrq': 28191629745, 'total_cash_per_share_mrq': 37.134, 'total_debt_mrq': 2745335830, 'total_debt_to_equity_mrq': 12.19, 'current_ratio_mrq': 1.833, 'book_value_per_share_mrq': 118.663}, 'cash_flow': {'operating_cash_flow_ttm': 11649598940, 'levered_free_cash_flow_ttm': 10053752395}}","{'shares_outstanding': 1328589952, 'float_shares': 2803376554, 'avg_10_volume': 6766640, 'avg_90_volume': 7459727, 'shares_short': 23647942, 'short_ratio': 2.9, 'short_percent_of_shares_outstanding': 0.0352, 'percent_held_by_insiders': 4.0000003e-05, 'percent_held_by_institutions': 0.3165}","{'fifty_two_week_low': 59.67, 'fifty_two_week_high': 152.99, 'fifty_two_week_change': 24.884, 'beta': 0.661, 'day_50_ma': 135.6806, 'day_200_ma': 105.86005}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",PDD,Pinduoduo Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 164894867456, 'enterprise_value': 172750651392, 'trailing_pe': 91.27586, 'forward_pe': 36.59447, 'peg_ratio': 36.59447, 'price_to_sales_ttm': 4.4230266, 'price_to_book_mrq': 14.621616, 'enterprise_to_revenue': 4.634, 'enterprise_to_ebitda': 89.369}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.050619997, 'operating_margin': 0.06562, 'return_on_assets_ttm': 0.0196, 'return_on_equity_ttm': 0.20353001, 'income_statement': {'revenue_ttm': 37281001472, 'revenue_per_share_ttm': 18.314, 'quarterly_revenue_growth': 0.154, 'gross_profit_ttm': 14824000000, 'ebitda': 2219000000, 'net_income_to_common_ttm': 1887000064, 'diluted_eps_ttm': 0.87, 'quarterly_earnings_growth_yoy': 1.402}, 'balance_sheet': {'total_cash_mrq': 5407000064, 'total_cash_per_share_mrq': 2.604, 'total_debt_mrq': 11829999616, 'total_debt_to_equity_mrq': 93.282, 'current_ratio_mrq': 1.195, 'book_value_per_share_mrq': 5.431}, 'cash_flow': {'operating_cash_flow_ttm': 3584999936, 'levered_free_cash_flow_ttm': 2478125056}}","{'shares_outstanding': 2076499968, 'float_shares': 2069624194, 'avg_10_volume': 15909610, 'avg_90_volume': 21842887, 'shares_short': 54704086, 'short_ratio': 2.29, 'short_percent_of_shares_outstanding': 0.0273, 'percent_held_by_insiders': 0.00151, 'percent_held_by_institutions': 0.83848}","{'fifty_two_week_low': 29.22, 'fifty_two_week_high': 82.14, 'fifty_two_week_change': 61.947, 'beta': 1.368, 'day_50_ma': 69.1588, 'day_200_ma': 52.64595}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",UBER,Uber Technologies Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 169898033152, 'enterprise_value': 200353136640, 'trailing_pe': 16.917952, 'forward_pe': 15.249664, 'peg_ratio': 15.249664, 'price_to_sales_ttm': 2.5335228, 'price_to_book_mrq': 8.715322, 'enterprise_to_revenue': 2.988, 'enterprise_to_ebitda': 12.732}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.15412, 'operating_margin': 0.19326, 'return_on_assets_ttm': 0.100839995, 'return_on_equity_ttm': 0.58383, 'income_statement': {'revenue_ttm': 67059998720, 'revenue_per_share_ttm': 131.336, 'quarterly_revenue_growth': 0.029, 'gross_profit_ttm': 23263000000, 'ebitda': 15790000000, 'net_income_to_common_ttm': 10334999552, 'diluted_eps_ttm': 20.11, 'quarterly_earnings_growth_yoy': 0.84}, 'balance_sheet': {'total_cash_mrq': 8006000128, 'total_cash_per_share_mrq': 16.032, 'total_debt_mrq': 38451998720, 'total_debt_to_equity_mrq': 197.159, 'current_ratio_mrq': 1.352, 'book_value_per_share_mrq': 39.037}, 'cash_flow': {'operating_cash_flow_ttm': 12885000192, 'levered_free_cash_flow_ttm': 8487499776}}","{'shares_outstanding': 499376992, 'float_shares': 497534567, 'avg_10_volume': 1770730, 'avg_90_volume': 2537250, 'shares_short': 15391935, 'short_ratio': 5.15, 'short_percent_of_shares_outstanding': 0.0309, 'percent_held_by_insiders': 0.0019699999, 'percent_held_by_institutions': 0.72525}","{'fifty_two_week_low': 204.04, 'fifty_two_week_high': 344.5, 'fifty_two_week_change': 33.866, 'beta': 1.152, 'day_50_ma': 307.25, 'day_200_ma': 269.91055}","{'forward_annual_dividend_rate': 5.2, 'forward_annual_dividend_yield': 0.015162560139962094, 'trailing_annual_dividend_rate': 5.1000000000000005, 'trailing_annual_dividend_yield': 0.014870972444962825, '5_year_average_dividend_yield': 2.34, 'payout_ratio': 0.2485, 'dividend_date': '2024-02-20', 'ex_dividend_date': '2024-01-19', 'last_split_factor': '2-for-1 split', 'last_split_date': '2005-07-14'}",CAT,Caterpillar Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 161727037440, 'enterprise_value': 176417980416, 'trailing_pe': 19.912655, 'forward_pe': 15.136856, 'peg_ratio': 15.136856, 'price_to_sales_ttm': 2.9091783, 'price_to_book_mrq': 5.757357, 'enterprise_to_revenue': 3.173, 'enterprise_to_ebitda': None}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.15063, 'operating_margin': 0.17357999, 'return_on_assets_ttm': 0.03422, 'return_on_equity_ttm': 0.31739, 'income_statement': {'revenue_ttm': 55592001536, 'revenue_per_share_ttm': 75.635, 'quarterly_revenue_growth': 0.092, 'gross_profit_ttm': 0, 'ebitda': 0, 'net_income_to_common_ttm': 8252000256, 'diluted_eps_ttm': 11.22, 'quarterly_earnings_growth_yoy': 0.23}, 'balance_sheet': {'total_cash_mrq': 46105001984, 'total_cash_per_share_mrq': 63.692, 'total_debt_mrq': 60795998208, 'total_debt_to_equity_mrq': 216.687, 'current_ratio_mrq': 1.433, 'book_value_per_share_mrq': 38.806}, 'cash_flow': {'operating_cash_flow_ttm': 18559000576, 'levered_free_cash_flow_ttm': 8252000000}}","{'shares_outstanding': 723870016, 'float_shares': 569996786, 'avg_10_volume': 2885770, 'avg_90_volume': 3606993, 'shares_short': 8987663, 'short_ratio': 2.32, 'short_percent_of_shares_outstanding': 0.015700001, 'percent_held_by_insiders': 0.21061, 'percent_held_by_institutions': 0.65268}","{'fifty_two_week_low': 137.8, 'fifty_two_week_high': 224.895, 'fifty_two_week_change': 26.241, 'beta': 1.23, 'day_50_ma': 199.99, 'day_200_ma': 171.63785}","{'forward_annual_dividend_rate': 2.4, 'forward_annual_dividend_yield': 0.01070425047946122, 'trailing_annual_dividend_rate': 2.4, 'trailing_annual_dividend_yield': 0.01070425047946122, '5_year_average_dividend_yield': 1.32, 'payout_ratio': 0.2141, 'dividend_date': '2024-02-09', 'ex_dividend_date': '2024-04-04', 'last_split_factor': '10000-for-8753 split', 'last_split_date': '2005-10-03'}",AXP,American Express Co,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 157456400384, 'enterprise_value': 154863403008, 'trailing_pe': 90.89705, 'forward_pe': 48.035023, 'peg_ratio': 48.035023, 'price_to_sales_ttm': 17.551712, 'price_to_book_mrq': 20.614065, 'enterprise_to_revenue': 17.263, 'enterprise_to_ebitda': 116.966}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.19296, 'operating_margin': 0.11079001, 'return_on_assets_ttm': 0.031040002, 'return_on_equity_ttm': 0.27346, 'income_statement': {'revenue_ttm': 8970999808, 'revenue_per_share_ttm': 43.946, 'quarterly_revenue_growth': 0.256, 'gross_profit_ttm': 7050000000, 'ebitda': 1594000000, 'net_income_to_common_ttm': 1731000064, 'diluted_eps_ttm': 8.45, 'quarterly_earnings_growth_yoy': 0.967}, 'balance_sheet': {'total_cash_mrq': 4877000192, 'total_cash_per_share_mrq': 23.79, 'total_debt_mrq': 2284000000, 'total_debt_to_equity_mrq': 29.942, 'current_ratio_mrq': 1.056, 'book_value_per_share_mrq': 37.26}, 'cash_flow': {'operating_cash_flow_ttm': 3398000128, 'levered_free_cash_flow_ttm': 3233250048}}","{'shares_outstanding': 205000000, 'float_shares': 204186150, 'avg_10_volume': 1334500, 'avg_90_volume': 1310303, 'shares_short': 3253054, 'short_ratio': 2.48, 'short_percent_of_shares_outstanding': 0.0159, 'percent_held_by_insiders': 0.00211, 'percent_held_by_institutions': 0.90995}","{'fifty_two_week_low': 405.37, 'fifty_two_week_high': 815.32, 'fifty_two_week_change': 46.359, 'beta': 0.972, 'day_50_ma': 748.9286, 'day_200_ma': 626.537}","{'forward_annual_dividend_rate': None, 'forward_annual_dividend_yield': None, 'trailing_annual_dividend_rate': 0, 'trailing_annual_dividend_yield': 0, '5_year_average_dividend_yield': None, 'payout_ratio': 0, 'dividend_date': None, 'ex_dividend_date': None, 'last_split_factor': None, 'last_split_date': None}",NOW,ServiceNow Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 159370903552, 'enterprise_value': 162584854528, 'trailing_pe': 24.825779, 'forward_pe': 26.840734, 'peg_ratio': 26.840734, 'price_to_sales_ttm': 9.097033, 'price_to_book_mrq': 9.428695, 'enterprise_to_revenue': 9.28, 'enterprise_to_ebitda': 19.15}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.3716, 'operating_margin': 0.37528, 'return_on_assets_ttm': 0.15353, 'return_on_equity_ttm': 0.41367, 'income_statement': {'revenue_ttm': 17518999552, 'revenue_per_share_ttm': 19.294, 'quarterly_revenue_growth': -0.127, 'gross_profit_ttm': 11019000000, 'ebitda': 9009000000, 'net_income_to_common_ttm': 6476000256, 'diluted_eps_ttm': 7.06, 'quarterly_earnings_growth_yoy': -0.301}, 'balance_sheet': {'total_cash_mrq': 8575000064, 'total_cash_per_share_mrq': 9.43, 'total_debt_mrq': 11788999680, 'total_debt_to_equity_mrq': 69.77, 'current_ratio_mrq': 4.555, 'book_value_per_share_mrq': 18.589}, 'cash_flow': {'operating_cash_flow_ttm': 6419999744, 'levered_free_cash_flow_ttm': -489750016}}","{'shares_outstanding': 909288000, 'float_shares': 905023114, 'avg_10_volume': 4995980, 'avg_90_volume': 5097697, 'shares_short': 14718669, 'short_ratio': 2.3, 'short_percent_of_shares_outstanding': 0.0162, 'percent_held_by_insiders': 0.00217, 'percent_held_by_institutions': 0.89054}","{'fifty_two_week_low': 139.48, 'fifty_two_week_high': 188.12, 'fifty_two_week_change': 1.283, 'beta': 1.029, 'day_50_ma': 165.635, 'day_200_ma': 164.81845}","{'forward_annual_dividend_rate': 5.2, 'forward_annual_dividend_yield': 0.029913423648862427, 'trailing_annual_dividend_rate': 5.08, 'trailing_annual_dividend_yield': 0.029223113872350215, '5_year_average_dividend_yield': 2.62, 'payout_ratio': 0.71, 'dividend_date': '2024-02-13', 'ex_dividend_date': '2024-01-30', 'last_split_factor': '2-for-1 split', 'last_split_date': '2000-05-23'}",TXN,Texas Instruments Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 151241375744, 'enterprise_value': 110267793408, 'trailing_pe': 68.196724, 'forward_pe': 20.292683, 'peg_ratio': 20.292683, 'price_to_sales_ttm': 19.682888, 'price_to_book_mrq': 13.1701145, 'enterprise_to_revenue': 14.35, 'enterprise_to_ebitda': None}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.18101, 'operating_margin': 0.35297, 'return_on_assets_ttm': 0.05903, 'return_on_equity_ttm': 0.12948, 'income_statement': {'revenue_ttm': 7683901952, 'revenue_per_share_ttm': 10.175, 'quarterly_revenue_growth': -0.303, 'gross_profit_ttm': 0, 'ebitda': 0, 'net_income_to_common_ttm': 1390880000, 'diluted_eps_ttm': 1.83, 'quarterly_earnings_growth_yoy': -0.728}, 'balance_sheet': {'total_cash_mrq': 3126756096, 'total_cash_per_share_mrq': 4.375, 'total_debt_mrq': 12948502528, 'total_debt_to_equity_mrq': 71.637, 'current_ratio_mrq': 1.112, 'book_value_per_share_mrq': 9.476}, 'cash_flow': {'operating_cash_flow_ttm': 4056905984, 'levered_free_cash_flow_ttm': 1390880000}}","{'shares_outstanding': 714643968, 'float_shares': 710678168, 'avg_10_volume': 3444230, 'avg_90_volume': 3605333, 'shares_short': 23727365, 'short_ratio': 6.53, 'short_percent_of_shares_outstanding': 0.033099998, 'percent_held_by_insiders': 0.005, 'percent_held_by_institutions': 0.71099}","{'fifty_two_week_low': 76.19, 'fifty_two_week_high': 133.53, 'fifty_two_week_change': 37.05, 'beta': 1.499, 'day_50_ma': 124.964, 'day_200_ma': 107.6187}","{'forward_annual_dividend_rate': 3.76, 'forward_annual_dividend_yield': 0.029508711348296968, 'trailing_annual_dividend_rate': 3.35, 'trailing_annual_dividend_yield': 0.026291006121487992, '5_year_average_dividend_yield': 3.83, 'payout_ratio': 1.8043, 'dividend_date': '2024-02-12', 'ex_dividend_date': '2024-02-02', 'last_split_factor': None, 'last_split_date': None}",BX,Blackstone Group Inc-The,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 148769636352, 'enterprise_value': 151019831296, 'trailing_pe': 28.626822, 'forward_pe': 23.15802, 'peg_ratio': 23.15802, 'price_to_sales_ttm': 2.8863769, 'price_to_book_mrq': 10.529759, 'enterprise_to_revenue': 2.93, 'enterprise_to_ebitda': 22.17}","{'fiscal_year_ends': '2023-05-31', 'most_recent_quarter': '2023-11-30', 'profit_margin': 0.10281, 'operating_margin': 0.13632, 'return_on_assets_ttm': 0.0986, 'return_on_equity_ttm': 0.36026, 'income_statement': {'revenue_ttm': 51541999616, 'revenue_per_share_ttm': 33.636, 'quarterly_revenue_growth': 0.005, 'gross_profit_ttm': 22292000000, 'ebitda': 6812000000, 'net_income_to_common_ttm': 5298999808, 'diluted_eps_ttm': 3.43, 'quarterly_earnings_growth_yoy': 0.186}, 'balance_sheet': {'total_cash_mrq': 9927000064, 'total_cash_per_share_mrq': 6.552, 'total_debt_mrq': 12177000448, 'total_debt_to_equity_mrq': 86.081, 'current_ratio_mrq': 2.737, 'book_value_per_share_mrq': 9.325}, 'cash_flow': {'operating_cash_flow_ttm': 7233999872, 'levered_free_cash_flow_ttm': 5620874752}}","{'shares_outstanding': 1217219968, 'float_shares': 1196688863, 'avg_10_volume': 7837030, 'avg_90_volume': 8366673, 'shares_short': 15529144, 'short_ratio': 1.82, 'short_percent_of_shares_outstanding': 0.015800001, 'percent_held_by_insiders': 0.01407, 'percent_held_by_institutions': 0.83215}","{'fifty_two_week_low': 88.66, 'fifty_two_week_high': 128.68, 'fifty_two_week_change': -19.146, 'beta': 1.101, 'day_50_ma': 103.5546, 'day_200_ma': 105.2604}","{'forward_annual_dividend_rate': 1.48, 'forward_annual_dividend_yield': 0.015029958362953184, 'trailing_annual_dividend_rate': 1.4200000000000002, 'trailing_annual_dividend_yield': 0.014420635726617245, '5_year_average_dividend_yield': 0.99, 'payout_ratio': 0.4052, 'dividend_date': '2024-04-01', 'ex_dividend_date': '2024-03-01', 'last_split_factor': '2-for-1 split', 'last_split_date': '2015-12-24'}",NKE,NIKE Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 151859101696, 'enterprise_value': 184967086080, 'trailing_pe': 23.808794, 'forward_pe': 19.780777, 'peg_ratio': 19.780777, 'price_to_sales_ttm': 6.296244, 'price_to_book_mrq': 10.267997, 'enterprise_to_revenue': 7.669, 'enterprise_to_ebitda': 16.152}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.26448, 'operating_margin': 0.39276, 'return_on_assets_ttm': 0.08612, 'return_on_equity_ttm': 0.47338, 'income_statement': {'revenue_ttm': 24118999040, 'revenue_per_share_ttm': 39.591, 'quarterly_revenue_growth': -0.003, 'gross_profit_ttm': 10529000000, 'ebitda': 11477000000, 'net_income_to_common_ttm': 6378999808, 'diluted_eps_ttm': 10.46, 'quarterly_earnings_growth_yoy': 0.009}, 'balance_sheet': {'total_cash_mrq': 1071000000, 'total_cash_per_share_mrq': 1.756, 'total_debt_mrq': 34179000320, 'total_debt_to_equity_mrq': 231.127, 'current_ratio_mrq': 0.812, 'book_value_per_share_mrq': 24.254}, 'cash_flow': {'operating_cash_flow_ttm': 8378999808, 'levered_free_cash_flow_ttm': 3363249920}}","{'shares_outstanding': 609777984, 'float_shares': 607235140, 'avg_10_volume': 2218580, 'avg_90_volume': 2346543, 'shares_short': 4978108, 'short_ratio': 1.99, 'short_percent_of_shares_outstanding': 0.0082, 'percent_held_by_insiders': 0.0021600001, 'percent_held_by_institutions': 0.82179}","{'fifty_two_week_low': 183.69, 'fifty_two_week_high': 258.66, 'fifty_two_week_change': 21.368, 'beta': 1.076, 'day_50_ma': 246.025, 'day_200_ma': 222.3874}","{'forward_annual_dividend_rate': 5.2, 'forward_annual_dividend_yield': 0.02087431255268757, 'trailing_annual_dividend_rate': 5.2, 'trailing_annual_dividend_yield': 0.02087431255268757, '5_year_average_dividend_yield': 2.13, 'payout_ratio': 0.4976, 'dividend_date': '2024-03-29', 'ex_dividend_date': '2024-02-28', 'last_split_factor': '2-for-1 split', 'last_split_date': '2014-06-09'}",UNP,Union Pacific Corp,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 152916574208, 'enterprise_value': 173755678720, 'trailing_pe': 7.572088, 'forward_pe': 6.9766207, 'peg_ratio': 6.9766207, 'price_to_sales_ttm': 0.69842464, 'price_to_book_mrq': 1.3223623, 'enterprise_to_revenue': 0.794, 'enterprise_to_ebitda': 3.988}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.097670004, 'operating_margin': 0.13984999, 'return_on_assets_ttm': 0.06791, 'return_on_equity_ttm': 0.18383, 'income_statement': {'revenue_ttm': 218944995328, 'revenue_per_share_ttm': 89.282, 'quarterly_revenue_growth': -0.144, 'gross_profit_ttm': 0, 'ebitda': 43571998720, 'net_income_to_common_ttm': 21383999488, 'diluted_eps_ttm': 8.67, 'quarterly_earnings_growth_yoy': 0.551}, 'balance_sheet': {'total_cash_mrq': 33848000512, 'total_cash_per_share_mrq': 14.393, 'total_debt_mrq': 50514001920, 'total_debt_to_equity_mrq': 42.288, 'current_ratio_mrq': 1.121, 'book_value_per_share_mrq': 49.646}, 'cash_flow': {'operating_cash_flow_ttm': 40678998016, 'levered_free_cash_flow_ttm': 15750500352}}","{'shares_outstanding': 2329270016, 'float_shares': 2136668386, 'avg_10_volume': 1011210, 'avg_90_volume': 2000710, 'shares_short': 6627122, 'short_ratio': 4.19, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 2.0000001e-05, 'percent_held_by_institutions': 0.06676}","{'fifty_two_week_low': 54.94, 'fifty_two_week_high': 69.63, 'fifty_two_week_change': 7.42, 'beta': 0.781, 'day_50_ma': 65.126, 'day_200_ma': 63.56605}","{'forward_annual_dividend_rate': 3.236, 'forward_annual_dividend_yield': 0.04914198936977981, 'trailing_annual_dividend_rate': 3.1450000000000005, 'trailing_annual_dividend_yield': 0.04776006074411542, '5_year_average_dividend_yield': 6.03, 'payout_ratio': 0.36240003, 'dividend_date': '2024-04-15', 'ex_dividend_date': '2024-03-18', 'last_split_factor': '1-for-1 split', 'last_split_date': '2016-06-01'}",TTE,TotalEnergies SE,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 146230853632, 'enterprise_value': 200709832704, 'trailing_pe': 21.828798, 'forward_pe': 12.913393, 'peg_ratio': 12.913393, 'price_to_sales_ttm': 5.1873307, 'price_to_book_mrq': 23.441578, 'enterprise_to_revenue': 7.12, 'enterprise_to_ebitda': 16.405}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.23828, 'operating_margin': 0.081499994, 'return_on_assets_ttm': 0.06289, 'return_on_equity_ttm': 1.35793, 'income_statement': {'revenue_ttm': 28189999104, 'revenue_per_share_ttm': 52.692, 'quarterly_revenue_growth': 0.198, 'gross_profit_ttm': 19739000000, 'ebitda': 14801000000, 'net_income_to_common_ttm': 6717000192, 'diluted_eps_ttm': 12.5, 'quarterly_earnings_growth_yoy': -0.525}, 'balance_sheet': {'total_cash_mrq': 10944000000, 'total_cash_per_share_mrq': 20.421, 'total_debt_mrq': 65422999552, 'total_debt_to_equity_mrq': 1049.791, 'current_ratio_mrq': 1.649, 'book_value_per_share_mrq': 11.64}, 'cash_flow': {'operating_cash_flow_ttm': 8471000064, 'levered_free_cash_flow_ttm': 3120624896}}","{'shares_outstanding': 535919008, 'float_shares': 533651964, 'avg_10_volume': 3276860, 'avg_90_volume': 3440057, 'shares_short': 11091634, 'short_ratio': 3.45, 'short_percent_of_shares_outstanding': 0.0207, 'percent_held_by_insiders': 0.00238, 'percent_held_by_institutions': 0.80825996}","{'fifty_two_week_low': 211.71, 'fifty_two_week_high': 329.72, 'fifty_two_week_change': 16.881, 'beta': 0.578, 'day_50_ma': 297.265, 'day_200_ma': 263.83374}","{'forward_annual_dividend_rate': 9, 'forward_annual_dividend_yield': 0.03282574997720434, 'trailing_annual_dividend_rate': 8.64, 'trailing_annual_dividend_yield': 0.031512719978116166, '5_year_average_dividend_yield': 2.97, 'payout_ratio': 0.6821, 'dividend_date': '2024-03-07', 'ex_dividend_date': '2024-05-16', 'last_split_factor': '2-for-1 split', 'last_split_date': '1999-11-22'}",AMGN,Amgen Inc,USD,NASDAQ,XNGS,America/New_York
"{'market_capitalization': 151277240320, 'enterprise_value': 214193192960, 'trailing_pe': 72.4054, 'forward_pe': 9.777372, 'peg_ratio': 9.777372, 'price_to_sales_ttm': 2.5861125, 'price_to_book_mrq': 1.6992263, 'enterprise_to_revenue': 3.662, 'enterprise_to_ebitda': 18.598}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.03622, 'operating_margin': -0.49967998, 'return_on_assets_ttm': 0.01551, 'return_on_equity_ttm': 0.02347, 'income_statement': {'revenue_ttm': 58496000000, 'revenue_per_share_ttm': 10.366, 'quarterly_revenue_growth': -0.413, 'gross_profit_ttm': 33542000000, 'ebitda': 14448000000, 'net_income_to_common_ttm': 2134000000, 'diluted_eps_ttm': 0.37, 'quarterly_earnings_growth_yoy': -0.4133799917661589}, 'balance_sheet': {'total_cash_mrq': 12689999872, 'total_cash_per_share_mrq': 2.247, 'total_debt_mrq': 75332001792, 'total_debt_to_equity_mrq': 84.37, 'current_ratio_mrq': 0.907, 'book_value_per_share_mrq': 15.766}, 'cash_flow': {'operating_cash_flow_ttm': 8700000256, 'levered_free_cash_flow_ttm': 1024249984}}","{'shares_outstanding': 5646779904, 'float_shares': 5635710739, 'avg_10_volume': 54054120, 'avg_90_volume': 47625577, 'shares_short': 60680875, 'short_ratio': 1.35, 'short_percent_of_shares_outstanding': 0.0107, 'percent_held_by_insiders': 0.0005, 'percent_held_by_institutions': 0.70124}","{'fifty_two_week_low': 25.61, 'fifty_two_week_high': 42.22, 'fifty_two_week_change': -45.826, 'beta': 0.557, 'day_50_ma': 27.8472, 'day_200_ma': 32.46645}","{'forward_annual_dividend_rate': 1.68, 'forward_annual_dividend_yield': 0.06222222222222222, 'trailing_annual_dividend_rate': 1.65, 'trailing_annual_dividend_yield': 0.06111111111111111, '5_year_average_dividend_yield': 3.92, 'payout_ratio': 4.4323997, 'dividend_date': '2024-03-01', 'ex_dividend_date': '2024-01-25', 'last_split_factor': '1054-for-1000 split', 'last_split_date': '2020-11-17'}",PFE,Pfizer Inc,USD,NYSE,XNYS,America/New_York
"{'market_capitalization': 148078985216, 'enterprise_value': 287094898688, 'trailing_pe': 6.6456146, 'forward_pe': 11.141176, 'peg_ratio': 11.141176, 'price_to_sales_ttm': 2.6277037, 'price_to_book_mrq': 4.2952714, 'enterprise_to_revenue': 5.095, 'enterprise_to_ebitda': None}","{'fiscal_year_ends': '2023-12-31', 'most_recent_quarter': '2023-12-31', 'profit_margin': 0.41759998, 'operating_margin': -0.124560006, 'return_on_assets_ttm': 0.0082, 'return_on_equity_ttm': 0.13001001, 'income_statement': {'revenue_ttm': 56353001472, 'revenue_per_share_ttm': 3.61625, 'quarterly_revenue_growth': -0.54, 'gross_profit_ttm': 0, 'ebitda': 0, 'net_income_to_common_ttm': 22432000000, 'diluted_eps_ttm': 5.7, 'quarterly_earnings_growth_yoy': -0.3545588165568252}, 'balance_sheet': {'total_cash_mrq': 1083986018304, 'total_cash_per_share_mrq': 57.033, 'total_debt_mrq': 643836018688, 'total_debt_to_equity_mrq': 3.3426925844348685, 'current_ratio_mrq': None, 'book_value_per_share_mrq': 8.819}, 'cash_flow': {'operating_cash_flow_ttm': -5910000128, 'levered_free_cash_flow_ttm': 22432000000}}","{'shares_outstanding': 3809509888, 'float_shares': 18743959843, 'avg_10_volume': 2779640, 'avg_90_volume': 2407980, 'shares_short': 10200971, 'short_ratio': 5.07, 'short_percent_of_shares_outstanding': None, 'percent_held_by_insiders': 0, 'percent_held_by_institutions': 0.014839999}","{'fifty_two_week_low': 32.405, 'fifty_two_week_high': 42.465, 'fifty_two_week_change': 5.965, 'beta': 0.593, 'day_50_ma': 39.341, 'day_200_ma': 38.99255}","{'forward_annual_dividend_rate': 6.2, 'forward_annual_dividend_yield': 0.165201172395417, 'trailing_annual_dividend_rate': 3.05, 'trailing_annual_dividend_yield': 0.08126831867839061, '5_year_average_dividend_yield': 6.08, 'payout_ratio': 0.46490002, 'dividend_date': '2024-04-25', 'ex_dividend_date': '2024-03-07', 'last_split_factor': None, 'last_split_date': None}",HSBC,HSBC Holdings PLC,USD,NYSE,XNYS,America/New_York
